CountryName,CountryCode,Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,GDPPerCapita2019,RankOf2021
Trinidad and Tobago,TTO,Caribbean,3.43,3.72,2.68,2.48,2.43,3.21,3.28,3.34,3.42,4.57,4.8,"1,394,973",24100202834,17276.47,126
Tunisia,TUN,Africa,18.33,17.63,15.93,15.06,15.16,15.56,15.33,15.46,15.13,16.59,16.82,"11,694,719",38797709924,3317.54,17
Turkey,TUR,Asia,8.8,8.15,8.73,9.88,10.24,10.84,10.82,10.89,13.67,13.11,13.39,"83,429,615",7.54E+11,9042.49,34
Turkmenistan,TKM,Asia,4.09,4.09,4.11,4.14,4.14,4.17,4.2,4.23,4.27,4.95,5.08,"5,942,089",40761142857,6859.73,117
Uganda,UGA,Africa,3.51,3.55,1.91,1.91,1.91,1.92,1.93,1.92,1.92,2.77,2.94,"44,269,594",34387229486,776.77,160
Ukraine,UKR,Europe,7.85,7.53,7.17,9.27,9.14,9.35,9.5,8.8,8.19,9.13,8.88,"44,385,155",1.54E+11,3464.7,60
United Arab Emirates,ARE,Asia,2.3,2.18,2.04,1.91,1.77,1.64,2.46,2.35,2.23,3.19,3.36,"9,770,529",4.21E+11,43103.32,157
United Kingdom,GBR,Europe,8.04,7.88,7.52,6.11,5.3,4.81,4.33,4,3.74,4.47,4.53,"66,834,405",2.83E+12,42300.27,132
United States,USA,North America,8.95,8.07,7.37,6.17,5.28,4.87,4.36,3.9,3.67,8.05,5.46,"328,239,523",2.14E+13,65280.68,103
United States Virgin Islands,VIR,Caribbean,12.08,12.23,12.76,12.79,12.62,12.68,12.32,12.43,12.47,13.55,13.27,"104,737",1996000000,19057.26,35
Uruguay,URY,South America,6.31,6.45,6.44,6.55,7.49,7.84,7.89,8.34,8.88,10.35,10.45,"3,461,734",56045912952,16190.13,48
